ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,867.3224,638.171,0.043137256,0.3548387
1,1,1,1,MOVE,20,866.3232,637.1723,0.08235294,0.6774193
1,1,1,1,MOVE,36,864.8574,635.7072,0.16078432,0.16129032
1,1,1,1,MOVE,53,864.32477,635.1748,0.21960786,0.22580644
1,1,1,1,MOVE,69,862.83636,633.6871,0.24313727,0.22580644
1,1,1,1,MOVE,85,862.3263,633.1773,0.28627452,0.29032257
1,1,1,1,MOVE,102,860.7285,631.58026,0.3019608,0.29032257
1,1,1,1,MOVE,118,860.3279,631.1798,0.3254902,0.32258064
1,1,1,1,MOVE,135,858.6316,628.4856,0.3372549,0.32258064
1,1,1,1,MOVE,151,858.3294,625.7071,0.35686275,0.3548387
1,1,1,1,MOVE,168,856.52374,623.5751,0.3647059,0.3548387
1,1,1,1,MOVE,184,856.331,620.492,0.3803922,0.38709676
1,1,1,1,MOVE,201,854.4235,616.47125,0.38823533,0.38709676
1,1,1,1,MOVE,218,851.8712,610.3527,0.40000004,0.38709676
1,1,1,1,MOVE,234,849.2953,604.1313,0.41176474,0.41935483
1,1,1,1,MOVE,251,846.2111,597.9657,0.4156863,0.41935483
1,1,1,1,MOVE,267,844.2217,591.7541,0.42352945,0.41935483
1,1,1,1,MOVE,284,841.0026,586.5549,0.427451,0.41935483
1,1,1,1,MOVE,300,837.905,580.3627,0.43529415,0.41935483
1,1,1,1,MOVE,317,834.79803,574.1515,0.43921572,0.4516129
1,1,1,1,MOVE,333,831.7124,567.9832,0.44705886,0.4516129
1,1,1,1,MOVE,350,828.59106,562.62317,0.45098042,0.4516129
1,1,1,1,MOVE,367,825.4873,557.96954,0.45882356,0.4516129
1,1,1,1,MOVE,383,823.3792,554.30963,0.46274513,0.4516129
1,1,1,1,MOVE,400,820.8234,550.2104,0.47058827,0.48387095
1,1,1,1,MOVE,416,818.18353,546.02026,0.48235297,0.48387095
1,1,1,1,MOVE,433,815.71924,542.00433,0.48627454,0.48387095
1,1,1,1,MOVE,449,813.00507,537.75684,0.49411768,0.48387095
1,1,1,1,MOVE,466,810.6207,533.80963,0.49803925,0.48387095
1,1,1,1,MOVE,483,807.7896,529.438,0.5019608,0.516129
1,1,1,1,MOVE,499,805.5183,525.607,0.5058824,0.516129
1,1,1,1,MOVE,516,802.56464,522.5073,0.5137255,0.516129
1,1,1,1,MOVE,532,801.4214,517.46454,0.5176471,0.516129
1,1,1,1,MOVE,549,799.8624,513.7884,0.5176471,0.516129
1,1,1,1,MOVE,565,798.3015,509.10797,0.5176471,0.516129
1,1,1,1,MOVE,582,796.7645,505.49792,0.5176471,0.516129
1,1,1,1,MOVE,599,795.1922,500.78326,0.5176471,0.516129
1,1,1,1,MOVE,615,793.6661,496.2069,0.5176471,0.516129
1,1,1,1,MOVE,632,792.1211,491.57422,0.5176471,0.516129
1,1,1,1,MOVE,648,789.7248,486.87286,0.5176471,0.516129
1,1,1,1,MOVE,665,787.989,482.1798,0.5176471,0.516129
1,1,1,1,MOVE,681,785.46375,477.6039,0.52156866,0.516129
1,1,1,1,MOVE,698,782.3888,472.8777,0.5254902,0.516129
1,1,1,1,MOVE,714,780.3435,469.24164,0.5254902,0.516129
1,1,1,1,MOVE,731,777.19806,464.59592,0.5254902,0.516129
1,1,1,1,MOVE,748,775.2519,459.9665,0.5254902,0.516129
1,1,1,1,MOVE,764,772.02045,455.33493,0.5254902,0.516129
1,1,1,1,MOVE,781,770.14526,450.6463,0.5254902,0.516129
1,1,1,1,MOVE,797,768.6045,446.0261,0.5254902,0.516129
1,1,1,1,MOVE,814,767.0597,441.39383,0.5254902,0.516129
1,1,1,1,MOVE,830,765.4964,436.70615,0.5254902,0.516129
1,1,1,1,MOVE,847,763.94714,432.06052,0.5254902,0.516129
